Survived,Passenger class,Sex,Age,# Sibiling/Spouses Aboard,# Parents/Children Aboard,Fare,Embarked,Family size
0,3,male,28.0,0,0,7.9,Cherbourg,0
1,2,female,3.0,1,2,41.58,Cherbourg,3
1,3,female,19.0,0,0,7.88,Queenstown,0
0,3,male,28.0,0,0,8.05,Southhampton,0
0,3,male,28.0,1,0,15.5,Queenstown,1
1,3,female,28.0,0,0,7.75,Queenstown,0
0,3,male,28.0,2,0,21.68,Cherbourg,2
0,3,female,18.0,1,0,17.8,Southhampton,1
0,3,male,7.0,4,1,39.69,Southhampton,5
0,3,male,21.0,0,0,7.8,Southhampton,0
1,1,female,49.0,1,0,76.73,Cherbourg,1
1,2,female,29.0,1,0,26.0,Southhampton,1
0,1,male,65.0,0,1,61.98,Cherbourg,1
1,1,male,28.0,0,0,35.5,Southhampton,0
1,2,female,21.0,0,0,10.5,Southhampton,0
0,3,male,28.5,0,0,7.23,Cherbourg,0
1,2,female,5.0,1,2,27.75,Southhampton,3
0,3,male,11.0,5,2,46.9,Southhampton,7
0,3,male,22.0,0,0,7.23,Cherbourg,0
1,1,female,38.0,0,0,80.0,Southhampton,0
0,1,male,45.0,1,0,83.48,Southhampton,1
0,3,male,4.0,3,2,27.9,Southhampton,5
0,1,male,28.0,0,0,27.72,Cherbourg,0
1,3,male,28.0,1,1,15.25,Cherbourg,2
1,2,female,29.0,0,0,10.5,Southhampton,0
0,3,male,19.0,0,0,8.16,Southhampton,0
1,3,female,17.0,4,2,7.92,Southhampton,6
0,3,male,26.0,2,0,8.66,Southhampton,2
0,2,male,32.0,0,0,10.5,Southhampton,0
0,3,female,16.0,5,2,46.9,Southhampton,7
0,2,male,21.0,0,0,73.5,Southhampton,0
0,3,male,26.0,1,0,14.45,Cherbourg,1
1,3,male,32.0,0,0,56.5,Southhampton,0
0,3,male,25.0,0,0,7.65,Southhampton,0
0,3,male,28.0,0,0,7.9,Southhampton,0
0,3,male,28.0,0,0,8.05,Southhampton,0
1,2,male,0.83,0,2,29.0,Southhampton,2
1,3,female,30.0,0,0,12.48,Southhampton,0
0,3,male,22.0,0,0,9.0,Southhampton,0
1,3,male,29.0,0,0,9.5,Southhampton,0
1,3,female,28.0,0,0,7.79,Queenstown,0
0,1,male,28.0,0,0,47.1,Southhampton,0
1,2,female,17.0,0,0,10.5,Southhampton,0
1,3,female,33.0,3,0,15.85,Southhampton,3
0,3,male,16.0,1,3,34.38,Southhampton,4
0,3,male,28.0,0,0,8.05,Southhampton,0
1,1,female,23.0,3,2,263.0,Southhampton,5
0,3,male,24.0,0,0,8.05,Southhampton,0
0,3,male,29.0,0,0,8.05,Southhampton,0
0,3,male,20.0,0,0,7.85,Southhampton,0
0,1,male,46.0,1,0,61.18,Southhampton,1
0,3,male,26.0,1,2,20.58,Southhampton,3
0,3,male,59.0,0,0,7.25,Southhampton,0
0,3,male,28.0,0,0,8.05,Southhampton,0
0,1,male,71.0,0,0,34.65,Cherbourg,0
1,1,male,23.0,0,1,63.36,Cherbourg,1
1,2,female,34.0,0,1,23.0,Southhampton,1
0,2,male,34.0,1,0,26.0,Southhampton,1
0,3,female,28.0,0,0,7.9,Southhampton,0
0,3,male,28.0,0,0,7.9,Southhampton,0
0,1,male,21.0,0,1,77.29,Southhampton,1
0,3,male,33.0,0,0,8.65,Southhampton,0
0,3,male,37.0,2,0,7.92,Southhampton,2
0,3,male,28.0,0,0,7.9,Southhampton,0
1,3,female,21.0,0,0,7.65,Southhampton,0
1,3,male,28.0,0,0,7.78,Southhampton,0
0,3,male,38.0,0,0,7.9,Southhampton,0
1,3,female,28.0,1,0,24.15,Queenstown,1
0,1,male,47.0,0,0,52.0,Southhampton,0
0,3,female,14.5,1,0,14.45,Cherbourg,1
0,3,male,22.0,0,0,8.05,Southhampton,0
0,3,female,20.0,1,0,9.82,Southhampton,1
0,3,female,17.0,0,0,14.46,Cherbourg,0
0,3,male,21.0,0,0,7.92,Southhampton,0
0,3,male,70.5,0,0,7.75,Queenstown,0
0,2,male,29.0,1,0,21.0,Southhampton,1
0,1,male,24.0,0,1,247.52,Cherbourg,1
0,3,female,2.0,4,2,31.28,Southhampton,6
0,2,male,21.0,2,0,73.5,Southhampton,2
0,3,male,28.0,0,0,8.05,Southhampton,0
0,2,male,32.5,1,0,30.07,Cherbourg,1
1,2,female,32.5,0,0,13.0,Southhampton,0
0,1,male,54.0,0,1,77.29,Southhampton,1
1,3,male,12.0,1,0,11.24,Cherbourg,1
0,3,male,28.0,0,0,7.75,Queenstown,0
1,3,male,24.0,0,0,7.14,Southhampton,0
1,3,female,28.0,1,1,22.36,Cherbourg,2
0,3,male,45.0,0,0,6.98,Southhampton,0
0,3,male,33.0,0,0,7.9,Cherbourg,0
0,3,male,20.0,0,0,7.05,Southhampton,0
0,3,female,47.0,1,0,14.5,Southhampton,1
1,2,female,29.0,1,0,26.0,Southhampton,1
0,2,male,25.0,0,0,13.0,Southhampton,0
0,2,male,23.0,0,0,15.05,Cherbourg,0
1,1,female,19.0,0,2,26.28,Southhampton,2
0,1,male,37.0,1,0,53.1,Southhampton,1
0,3,male,16.0,0,0,9.22,Southhampton,0
0,1,male,24.0,0,0,79.2,Cherbourg,0
0,3,female,28.0,0,2,15.25,Cherbourg,2
1,3,female,22.0,0,0,7.75,Southhampton,0
1,3,female,24.0,1,0,15.85,Southhampton,1
0,3,male,19.0,0,0,6.75,Queenstown,0
0,2,male,18.0,0,0,11.5,Southhampton,0
0,2,male,19.0,1,1,36.75,Southhampton,2
1,3,male,27.0,0,0,7.8,Southhampton,0
0,3,female,9.0,2,2,34.38,Southhampton,4
0,2,male,36.5,0,2,26.0,Southhampton,2
0,2,male,42.0,0,0,13.0,Southhampton,0
0,2,male,51.0,0,0,12.52,Southhampton,0
1,1,female,22.0,1,0,66.6,Southhampton,1
0,3,male,55.5,0,0,8.05,Southhampton,0
0,3,male,40.5,0,2,14.5,Southhampton,2
0,3,male,28.0,0,0,7.31,Southhampton,0
0,1,male,51.0,0,1,61.38,Cherbourg,1
1,3,female,16.0,0,0,7.73,Queenstown,0
0,3,male,30.0,0,0,8.05,Southhampton,0
0,3,male,28.0,0,0,8.66,Southhampton,0
0,3,male,28.0,8,2,69.55,Southhampton,10
0,3,male,44.0,0,1,16.1,Southhampton,1
1,2,female,40.0,0,0,15.75,Southhampton,0
0,3,male,26.0,0,0,7.78,Southhampton,0
0,3,male,17.0,0,0,8.66,Southhampton,0
0,3,male,1.0,4,1,39.69,Southhampton,5
1,3,male,9.0,0,2,20.52,Southhampton,2
1,1,female,28.0,0,1,55.0,Southhampton,1
0,3,female,45.0,1,4,27.9,Southhampton,5
0,1,male,28.0,0,0,25.92,Southhampton,0
0,3,male,28.0,0,0,56.5,Southhampton,0
0,1,male,61.0,0,0,33.5,Southhampton,0
0,3,male,4.0,4,1,29.12,Queenstown,5
1,3,female,1.0,1,1,11.13,Southhampton,2
0,3,male,21.0,0,0,7.92,Southhampton,0
0,1,male,56.0,0,0,30.7,Cherbourg,0
0,3,male,18.0,1,1,7.85,Southhampton,2
0,3,male,28.0,3,1,25.47,Southhampton,4
0,1,female,50.0,0,0,28.71,Cherbourg,0
0,2,male,30.0,0,0,13.0,Southhampton,0
0,3,male,36.0,0,0,0.0,Southhampton,0
0,3,female,28.0,8,2,69.55,Southhampton,10
0,2,male,28.0,0,0,15.05,Cherbourg,0
0,3,male,9.0,4,2,31.39,Southhampton,6
1,2,male,1.0,2,1,39.0,Southhampton,3
1,3,female,4.0,0,2,22.02,Southhampton,2
0,1,male,28.0,0,0,50.0,Southhampton,0
1,3,female,28.0,1,0,15.5,Queenstown,1
1,1,male,45.0,0,0,26.55,Southhampton,0
0,3,male,40.0,1,1,15.5,Queenstown,2
0,3,male,36.0,0,0,7.9,Southhampton,0
1,2,female,32.0,0,0,13.0,Southhampton,0
0,2,male,19.0,0,0,13.0,Southhampton,0
1,3,female,19.0,1,0,7.85,Southhampton,1
1,2,male,3.0,1,1,26.0,Southhampton,2
1,1,female,44.0,0,0,27.72,Cherbourg,0
1,1,female,58.0,0,0,146.52,Cherbourg,0
0,3,male,28.0,0,0,7.75,Queenstown,0
0,3,male,42.0,0,1,8.4,Southhampton,1
1,3,female,28.0,0,0,7.75,Queenstown,0
0,2,female,24.0,0,0,13.0,Southhampton,0
0,3,male,28.0,0,0,9.5,Southhampton,0
0,3,male,28.0,8,2,69.55,Southhampton,10
0,3,male,34.0,0,0,6.5,Southhampton,0
0,3,male,45.5,0,0,7.22,Cherbourg,0
1,3,male,18.0,0,0,8.05,Southhampton,0
0,3,female,2.0,0,1,10.46,Southhampton,1
0,3,male,32.0,1,0,15.85,Southhampton,1
1,3,male,26.0,0,0,18.79,Cherbourg,0
1,3,female,16.0,0,0,7.75,Queenstown,0
1,1,male,40.0,0,0,31.0,Cherbourg,0
0,3,male,24.0,0,0,7.05,Southhampton,0
1,2,female,35.0,0,0,21.0,Southhampton,0
0,3,male,22.0,0,0,7.25,Southhampton,0
0,2,male,30.0,0,0,13.0,Southhampton,0
0,3,male,28.0,1,0,7.75,Queenstown,1
1,1,female,31.0,1,0,113.28,Cherbourg,1
1,3,female,27.0,0,0,7.92,Southhampton,0
0,2,male,42.0,1,0,27.0,Southhampton,1
1,1,female,32.0,0,0,76.29,Cherbourg,0
0,2,male,30.0,0,0,10.5,Southhampton,0
1,3,male,16.0,0,0,8.05,Southhampton,0
0,2,male,27.0,0,0,13.0,Southhampton,0
0,3,male,51.0,0,0,8.05,Southhampton,0
0,3,male,28.0,0,0,7.9,Southhampton,0
1,1,male,38.0,1,0,90.0,Southhampton,1
0,3,male,22.0,0,0,9.35,Southhampton,0
1,2,male,19.0,0,0,10.5,Southhampton,0
0,3,male,20.5,0,0,7.25,Southhampton,0
0,2,male,18.0,0,0,13.0,Southhampton,0
0,3,female,28.0,3,1,25.47,Southhampton,4
1,1,female,35.0,1,0,83.48,Southhampton,1
0,3,male,29.0,0,0,7.78,Southhampton,0
0,2,male,59.0,0,0,13.5,Southhampton,0
1,3,female,5.0,4,2,31.39,Southhampton,6
0,2,male,24.0,0,0,10.5,Southhampton,0
0,3,female,28.0,0,0,7.55,Southhampton,0
0,2,male,44.0,1,0,26.0,Southhampton,1
1,2,female,8.0,0,2,26.25,Southhampton,2
0,2,male,19.0,0,0,10.5,Southhampton,0
0,2,male,33.0,0,0,12.28,Southhampton,0
0,3,female,28.0,1,0,14.45,Cherbourg,1
1,3,female,28.0,1,0,15.5,Queenstown,1
0,2,male,29.0,0,0,10.5,Southhampton,0
0,3,male,22.0,0,0,7.12,Southhampton,0
0,3,male,30.0,0,0,7.22,Cherbourg,0
0,1,male,44.0,2,0,90.0,Queenstown,2
0,3,female,25.0,0,0,7.78,Southhampton,0
1,2,female,24.0,0,2,14.5,Southhampton,2
1,1,male,37.0,1,1,52.55,Southhampton,2
0,2,male,54.0,1,0,26.0,Southhampton,1
0,3,male,28.0,0,0,7.25,Southhampton,0
0,3,female,29.0,1,1,10.46,Southhampton,2
0,1,male,62.0,0,0,26.55,Southhampton,0
0,3,male,30.0,1,0,16.1,Southhampton,1
0,3,female,41.0,0,2,20.21,Southhampton,2
1,3,female,29.0,0,2,15.25,Cherbourg,2
1,1,female,28.0,0,0,79.2,Cherbourg,0
1,1,female,30.0,0,0,86.5,Southhampton,0
1,1,female,35.0,0,0,512.33,Cherbourg,0
1,2,female,50.0,0,1,26.0,Southhampton,1
0,3,male,28.0,0,0,7.75,Queenstown,0
1,3,male,3.0,4,2,31.39,Southhampton,6
0,1,male,52.0,1,1,79.65,Southhampton,2
0,1,male,40.0,0,0,0.0,Southhampton,0
0,3,female,28.0,0,0,7.75,Queenstown,0
0,2,male,36.0,0,0,10.5,Southhampton,0
0,3,male,16.0,4,1,39.69,Southhampton,5
1,3,male,25.0,1,0,7.78,Southhampton,1
1,1,female,58.0,0,1,153.46,Southhampton,1
1,1,female,35.0,0,0,135.63,Southhampton,0
0,1,male,28.0,0,0,31.0,Southhampton,0
1,3,male,25.0,0,0,0.0,Southhampton,0
1,2,female,41.0,0,1,19.5,Southhampton,1
0,1,male,37.0,0,1,29.7,Cherbourg,1
1,3,female,28.0,0,0,7.75,Queenstown,0
1,1,female,63.0,1,0,77.96,Southhampton,1
0,3,female,45.0,0,0,7.75,Southhampton,0
0,2,male,28.0,0,0,0.0,Southhampton,0
0,3,male,7.0,4,1,29.12,Queenstown,5
1,3,female,35.0,1,1,20.25,Southhampton,2
0,3,male,65.0,0,0,7.75,Queenstown,0
0,3,male,28.0,0,0,7.85,Southhampton,0
0,3,male,16.0,0,0,9.5,Southhampton,0
1,3,male,19.0,0,0,8.05,Southhampton,0
0,1,male,28.0,0,0,26.0,Southhampton,0
0,3,male,33.0,0,0,8.66,Cherbourg,0
1,3,male,30.0,0,0,9.5,Southhampton,0
0,3,male,22.0,0,0,7.9,Southhampton,0
1,2,male,42.0,0,0,13.0,Southhampton,0
1,3,female,22.0,0,0,7.75,Queenstown,0
1,1,female,26.0,0,0,78.85,Southhampton,0
1,1,female,19.0,1,0,91.08,Cherbourg,1
0,2,male,36.0,0,0,12.88,Cherbourg,0
0,3,female,24.0,0,0,8.85,Southhampton,0
0,3,male,24.0,0,0,7.9,Southhampton,0
0,1,male,28.0,0,0,27.72,Cherbourg,0
0,3,male,23.5,0,0,7.23,Cherbourg,0
0,1,female,2.0,1,2,151.55,Southhampton,3
1,1,male,28.0,0,0,30.5,Southhampton,0
1,1,female,50.0,0,1,247.52,Cherbourg,1
1,3,female,28.0,0,0,7.75,Queenstown,0
1,3,male,28.0,2,0,23.25,Queenstown,2
0,3,male,19.0,0,0,0.0,Southhampton,0
1,2,female,28.0,0,0,12.35,Queenstown,0
0,3,male,28.0,0,0,8.05,Southhampton,0
1,1,male,0.92,1,2,151.55,Southhampton,3
1,1,female,28.0,0,0,110.88,Cherbourg,0
1,1,female,17.0,1,0,108.9,Cherbourg,1
0,2,male,30.0,1,0,24.0,Cherbourg,1
1,1,female,30.0,0,0,56.93,Cherbourg,0
1,1,female,24.0,0,0,83.16,Cherbourg,0
1,1,female,18.0,2,2,262.38,Cherbourg,4
0,2,female,26.0,1,1,26.0,Southhampton,2
0,3,male,28.0,0,0,7.9,Southhampton,0
0,2,male,43.0,1,1,26.25,Southhampton,2
1,3,female,26.0,0,0,7.85,Southhampton,0
1,2,female,24.0,1,0,26.0,Southhampton,1
0,2,male,54.0,0,0,14.0,Southhampton,0
1,1,female,31.0,0,2,164.87,Southhampton,2
1,1,female,40.0,1,1,134.5,Cherbourg,2
0,3,male,22.0,0,0,7.25,Southhampton,0
0,3,male,27.0,0,0,7.9,Southhampton,0
1,2,female,30.0,0,0,12.35,Queenstown,0
1,2,female,22.0,1,1,29.0,Southhampton,2
0,3,male,28.0,8,2,69.55,Southhampton,10
1,1,female,36.0,0,0,135.63,Cherbourg,0
0,3,male,61.0,0,0,6.24,Southhampton,0
1,2,female,36.0,0,0,13.0,Southhampton,0
1,3,female,31.0,1,1,20.52,Southhampton,2
1,1,female,16.0,0,1,57.98,Cherbourg,1
1,3,female,28.0,2,0,23.25,Queenstown,2
0,1,male,45.5,0,0,28.5,Southhampton,0
0,1,male,38.0,0,1,153.46,Southhampton,1
0,3,male,16.0,2,0,18.0,Southhampton,2
1,1,female,28.0,1,0,133.65,Southhampton,1
0,3,male,28.0,0,0,7.9,Southhampton,0
0,1,male,29.0,1,0,66.6,Southhampton,1
1,1,female,41.0,0,0,134.5,Cherbourg,0
1,3,male,45.0,0,0,8.05,Southhampton,0
0,1,male,45.0,0,0,35.5,Southhampton,0
1,2,male,2.0,1,1,26.0,Southhampton,2
1,1,female,24.0,3,2,263.0,Southhampton,5
0,2,male,28.0,0,0,13.0,Southhampton,0
0,2,male,25.0,0,0,13.0,Southhampton,0
0,2,male,36.0,0,0,13.0,Southhampton,0
1,2,female,24.0,0,0,13.0,Southhampton,0
1,2,female,40.0,0,0,13.0,Southhampton,0
1,3,female,28.0,1,0,16.1,Southhampton,1
1,3,male,3.0,1,1,15.9,Southhampton,2
0,3,male,42.0,0,0,8.66,Southhampton,0
0,3,male,23.0,0,0,9.22,Southhampton,0
0,1,male,28.0,0,0,35.0,Southhampton,0
0,3,male,15.0,1,1,7.23,Cherbourg,2
0,3,male,25.0,1,0,17.8,Southhampton,1
0,3,male,28.0,0,0,7.22,Cherbourg,0
0,3,male,28.0,0,0,9.5,Southhampton,0
1,1,female,22.0,0,1,55.0,Southhampton,1
0,2,female,38.0,0,0,13.0,Southhampton,0
1,3,female,28.0,0,0,7.88,Queenstown,0
1,3,female,28.0,0,0,7.88,Queenstown,0
0,3,male,40.0,1,4,27.9,Southhampton,5
0,2,male,29.0,1,0,27.72,Cherbourg,1
0,3,female,45.0,0,1,14.45,Cherbourg,1
0,3,male,35.0,0,0,7.05,Southhampton,0
0,3,male,28.0,1,0,15.5,Queenstown,1
0,3,male,30.0,0,0,7.25,Southhampton,0
1,1,female,60.0,1,0,75.25,Cherbourg,1
1,3,female,28.0,0,0,7.23,Cherbourg,0
1,3,female,28.0,0,0,7.75,Queenstown,0
1,1,female,24.0,0,0,69.3,Cherbourg,0
1,1,male,25.0,1,0,55.44,Cherbourg,1
0,3,male,18.0,1,0,6.5,Southhampton,1
0,3,male,19.0,0,0,8.05,Southhampton,0
0,1,male,22.0,0,0,135.63,Cherbourg,0
0,3,female,3.0,3,1,21.08,Southhampton,4
1,1,female,28.0,1,0,82.17,Cherbourg,1
1,3,female,22.0,0,0,7.25,Southhampton,0
0,1,male,27.0,0,2,211.5,Cherbourg,2
0,3,male,20.0,0,0,4.01,Cherbourg,0
0,3,male,19.0,0,0,7.78,Southhampton,0
1,1,female,42.0,0,0,227.52,Cherbourg,0
1,3,female,1.0,0,2,15.74,Cherbourg,2
0,3,male,32.0,0,0,7.92,Southhampton,0
1,1,female,35.0,1,0,52.0,Southhampton,1
0,3,male,28.0,0,0,7.9,Southhampton,0
0,2,male,18.0,0,0,73.5,Southhampton,0
0,3,male,1.0,5,2,46.9,Southhampton,7
1,2,female,36.0,0,0,13.0,Southhampton,0
0,3,male,28.0,0,0,7.73,Queenstown,0
1,2,female,17.0,0,0,12.0,Cherbourg,0
1,1,male,36.0,1,2,120.0,Southhampton,3
1,3,male,21.0,0,0,7.8,Southhampton,0
0,3,male,28.0,2,0,7.92,Southhampton,2
1,1,female,23.0,1,0,113.28,Cherbourg,1
1,3,female,24.0,0,2,16.7,Southhampton,2
0,3,male,22.0,0,0,7.8,Southhampton,0
0,3,female,31.0,0,0,7.85,Southhampton,0
0,2,male,46.0,0,0,26.0,Southhampton,0
0,2,male,23.0,0,0,10.5,Southhampton,0
1,2,female,28.0,0,0,12.65,Southhampton,0
1,3,male,39.0,0,0,7.92,Southhampton,0
0,3,male,26.0,0,0,8.05,Southhampton,0
0,3,female,21.0,1,0,9.82,Southhampton,1
0,3,male,28.0,1,0,15.85,Southhampton,1
0,3,female,20.0,0,0,8.66,Southhampton,0
0,2,male,34.0,1,0,21.0,Southhampton,1
0,3,male,51.0,0,0,7.75,Southhampton,0
1,2,male,3.0,1,1,18.75,Southhampton,2
0,3,male,21.0,0,0,7.78,Southhampton,0
0,3,female,28.0,3,1,25.47,Southhampton,4
0,3,male,28.0,0,0,7.9,Southhampton,0
0,3,male,28.0,0,0,6.86,Queenstown,0
1,1,female,33.0,1,0,90.0,Queenstown,1
0,2,male,28.0,0,0,0.0,Southhampton,0
1,3,male,44.0,0,0,7.92,Southhampton,0
0,3,female,28.0,0,0,8.05,Southhampton,0
1,2,female,34.0,1,1,32.5,Southhampton,2
1,2,female,18.0,0,2,13.0,Southhampton,2
0,2,male,30.0,0,0,13.0,Southhampton,0
0,3,female,10.0,0,2,24.15,Southhampton,2
0,3,male,28.0,0,0,7.9,Cherbourg,0
0,3,male,21.0,0,0,7.73,Queenstown,0
0,3,male,29.0,0,0,7.88,Southhampton,0
0,3,female,28.0,1,1,14.4,Southhampton,2
0,3,male,18.0,1,1,20.21,Southhampton,2
0,3,male,28.0,0,0,7.25,Southhampton,0
1,2,female,28.0,1,0,26.0,Southhampton,1
1,2,female,19.0,0,0,26.0,Southhampton,0
0,3,male,28.0,0,0,7.75,Queenstown,0
1,3,male,32.0,0,0,8.05,Southhampton,0
1,1,male,28.0,0,0,26.55,Southhampton,0
1,3,female,28.0,1,0,16.1,Southhampton,1
1,2,female,42.0,1,0,26.0,Southhampton,1
0,3,male,17.0,0,0,7.12,Southhampton,0
0,1,male,50.0,1,0,55.9,Southhampton,1
1,1,female,14.0,1,2,120.0,Southhampton,3
0,3,female,21.0,2,2,34.38,Southhampton,4
1,2,female,24.0,2,3,18.75,Southhampton,5
0,1,male,64.0,1,4,263.0,Southhampton,5
0,2,male,31.0,0,0,10.5,Southhampton,0
1,2,female,45.0,1,1,26.25,Southhampton,2
0,3,male,20.0,0,0,9.5,Southhampton,0
0,3,male,25.0,1,0,7.78,Southhampton,1
1,2,female,28.0,0,0,13.0,Southhampton,0
1,3,male,28.0,0,0,8.11,Southhampton,0
1,1,male,4.0,0,2,81.86,Southhampton,2
1,2,female,13.0,0,1,19.5,Southhampton,1
1,1,male,34.0,0,0,26.55,Southhampton,0
1,3,female,5.0,2,1,19.26,Cherbourg,3
1,1,male,52.0,0,0,30.5,Southhampton,0
0,2,male,36.0,1,2,27.75,Southhampton,3
0,3,male,28.0,1,0,19.97,Southhampton,1
0,1,male,30.0,0,0,27.75,Cherbourg,0
1,1,male,49.0,1,0,89.1,Cherbourg,1
0,3,male,28.0,0,0,8.05,Southhampton,0
1,3,male,29.0,0,0,7.9,Cherbourg,0
0,1,male,65.0,0,0,26.55,Southhampton,0
1,1,female,28.0,1,0,51.86,Southhampton,1
1,2,female,50.0,0,0,10.5,Southhampton,0
0,3,male,28.0,0,0,7.75,Queenstown,0
1,1,male,48.0,0,0,26.55,Southhampton,0
0,3,male,34.0,0,0,8.05,Southhampton,0
0,1,male,47.0,0,0,38.5,Southhampton,0
0,2,male,48.0,0,0,13.0,Southhampton,0
0,3,male,28.0,0,0,8.05,Southhampton,0
0,3,male,38.0,0,0,7.05,Southhampton,0
0,2,male,28.0,0,0,0.0,Southhampton,0
0,1,male,56.0,0,0,26.55,Southhampton,0
0,3,male,28.0,0,0,7.72,Queenstown,0
1,3,female,0.75,2,1,19.26,Cherbourg,3
0,3,male,28.0,0,0,7.25,Southhampton,0
0,3,male,38.0,0,0,8.66,Southhampton,0
1,2,female,33.0,1,2,27.75,Southhampton,3
1,2,female,23.0,0,0,13.79,Cherbourg,0
0,3,female,22.0,0,0,9.84,Southhampton,0
0,1,male,28.0,0,0,52.0,Southhampton,0
0,2,male,34.0,1,0,21.0,Southhampton,1
0,3,male,29.0,1,0,7.05,Southhampton,1
0,3,male,22.0,0,0,7.52,Southhampton,0
1,3,female,2.0,0,1,12.29,Southhampton,1
0,3,male,9.0,5,2,46.9,Southhampton,7
0,2,male,28.0,0,0,0.0,Southhampton,0
0,3,male,50.0,0,0,8.05,Southhampton,0
1,3,female,63.0,0,0,9.59,Southhampton,0
1,1,male,25.0,1,0,91.08,Cherbourg,1
0,3,female,28.0,3,1,25.47,Southhampton,4
1,1,female,35.0,1,0,90.0,Southhampton,1
0,1,male,58.0,0,0,29.7,Cherbourg,0
0,3,male,30.0,0,0,8.05,Southhampton,0
1,3,male,9.0,1,1,15.9,Southhampton,2
0,3,male,28.0,1,0,19.97,Southhampton,1
0,3,male,21.0,0,0,7.25,Southhampton,0
0,1,male,55.0,0,0,30.5,Southhampton,0
0,1,male,71.0,0,0,49.5,Cherbourg,0
0,3,male,21.0,0,0,8.05,Southhampton,0
0,3,male,28.0,0,0,14.46,Cherbourg,0
1,1,female,54.0,1,0,78.27,Cherbourg,1
0,3,male,28.0,0,0,15.1,Southhampton,0
0,1,female,25.0,1,2,151.55,Southhampton,3
0,3,male,24.0,0,0,7.8,Southhampton,0
0,3,male,17.0,0,0,8.66,Southhampton,0
0,3,female,21.0,0,0,7.75,Queenstown,0
0,3,female,28.0,0,0,7.63,Queenstown,0
0,3,female,37.0,0,0,9.59,Southhampton,0
1,1,female,16.0,0,0,86.5,Southhampton,0
0,1,male,18.0,1,0,108.9,Cherbourg,1
1,2,female,33.0,0,2,26.0,Southhampton,2
1,1,male,28.0,0,0,26.55,Southhampton,0
0,3,male,28.0,0,0,22.52,Southhampton,0
1,3,male,26.0,0,0,56.5,Southhampton,0
1,3,male,29.0,0,0,7.75,Queenstown,0
0,3,male,28.0,0,0,8.05,Southhampton,0
1,1,male,36.0,0,0,26.29,Southhampton,0
1,1,female,54.0,1,0,59.4,Cherbourg,1
0,3,male,24.0,0,0,7.5,Southhampton,0
0,1,male,47.0,0,0,34.02,Southhampton,0
1,2,female,34.0,0,0,10.5,Southhampton,0
0,3,male,28.0,0,0,24.15,Queenstown,0
1,2,female,36.0,1,0,26.0,Southhampton,1
0,3,male,32.0,0,0,7.9,Southhampton,0
1,1,female,30.0,0,0,93.5,Southhampton,0
0,3,male,22.0,0,0,7.9,Southhampton,0
0,3,male,28.0,0,0,7.22,Cherbourg,0
1,1,female,44.0,0,1,57.98,Cherbourg,1
0,3,male,28.0,0,0,7.23,Cherbourg,0
0,3,male,40.5,0,0,7.75,Queenstown,0
1,2,female,50.0,0,0,10.5,Southhampton,0
0,1,male,28.0,0,0,221.78,Southhampton,0
0,3,male,39.0,0,0,7.92,Southhampton,0
0,2,male,23.0,2,1,11.5,Southhampton,3
